SalesID,Date,CustomerID,ProductID,StoreID,Quantity,TotalRevenue,TotalCost
49,2024-01-05,CU021,C025,S001,4,19.60,8.00
50,2024-01-10,CU001,C005,S001,3,13.50,5.40
51,2024-01-14,CU026,C028,S001,6,16.20,5.40
52,2024-01-20,CU005,C008,S001,5,22.00,8.50
53,2024-01-25,CU016,C020,S002,4,18.40,7.40
54,2024-01-29,CU034,C025,S001,5,24.50,10.00
55,2024-02-03,CU018,C011,S001,6,25.20,9.60
56,2024-02-12,CU022,C023,S003,10,18.00,5.00
57,2024-02-17,CU035,C021,S001,4,18.80,7.60
58,2024-02-22,CU008,C011,S001,3,12.60,4.80
59,2024-02-27,CU027,C012,S003,5,19.50,7.25
60,2024-03-05,CU003,C005,S002,6,27.00,10.80
61,2024-03-09,CU020,C017,S002,12,39.60,12.00
62,2024-03-15,CU009,C008,S002,5,22.00,8.50
63,2024-03-18,CU023,C003,S002,8,19.20,6.00
64,2024-03-25,CU012,C009,S003,4,16.00,6.00
65,2024-03-30,CU028,C020,S002,3,13.80,5.55
66,2024-04-06,CU029,C011,S002,5,21.00,8.00
67,2024-04-12,CU004,C023,S001,10,18.00,5.00
68,2024-04-21,CU024,C002,S001,6,13.80,4.20
69,2024-04-30,CU013,C030,S003,8,20.80,6.80
70,2024-05-09,CU025,C024,S001,10,17.00,4.50
71,2024-05-18,CU006,C028,S002,6,16.20,5.40
72,2024-05-22,CU030,C001,S001,8,20.00,6.40
73,2024-06-01,CU007,C019,S003,5,14.00,4.50
74,2024-06-10,CU031,C025,S003,4,19.60,8.00
75,2024-06-20,CU036,C019,S003,6,16.80,5.40
76,2024-07-01,CU032,C004,S002,5,13.00,4.25
77,2024-07-03,CU010,C028,S003,12,32.40,10.80
78,2024-07-11,CU017,C024,S003,10,17.00,4.50
79,2024-07-14,CU037,C003,S001,6,14.40,4.50
80,2024-08-03,CU038,C014,S002,4,14.00,4.80
81,2024-08-15,CU033,C023,S001,15,27.00,7.50
82,2024-08-19,CU019,C013,S001,5,16.00,5.50
83,2024-09-11,CU039,C006,S002,5,23.50,9.50
84,2024-10-05,CU040,C015,S001,4,14.80,5.20
85,2024-11-01,CU001,C025,S001,3,14.70,6.00
86,2024-11-05,CU005,C021,S001,4,18.80,7.60
87,2024-11-10,CU009,C011,S002,6,25.20,9.60
88,2024-11-15,CU016,C008,S002,5,22.00,8.50
89,2024-11-20,CU018,C020,S001,4,18.40,7.40
90,2024-11-25,CU003,C007,S002,5,23.00,9.25
91,2024-11-28,CU020,C017,S002,10,33.00,10.00
92,2024-12-02,CU012,C012,S003,4,15.60,5.80
93,2024-12-05,CU008,C009,S001,5,20.00,7.50
94,2024-12-10,CU002,C028,S003,8,21.60,7.20
95,2024-12-15,CU011,C018,S001,6,21.00,6.60
96,2024-12-20,CU015,C023,S001,12,21.60,6.00
97,2024-12-25,CU035,C005,S001,5,22.50,9.00
98,2024-12-28,CU021,C025,S001,4,19.60,8.00
99,2024-12-30,CU028,C020,S002,5,23.00,9.25
100,2025-01-01,CU001,C021,S001,4,18.80,7.60
101,2023-01-18,CU005,C011,S001,5,21.00,8.00
102,2023-01-25,CU009,C008,S002,4,17.60,6.80
103,2023-02-05,CU001,C020,S001,3,13.80,5.55
104,2023-02-15,CU018,C012,S001,6,23.40,8.70
105,2023-02-20,CU012,C011,S003,4,16.80,6.40
106,2023-03-10,CU003,C017,S002,12,39.60,12.00
107,2023-03-15,CU020,C025,S002,3,14.70,6.00
108,2023-03-28,CU016,C021,S002,5,23.50,9.50
109,2023-04-15,CU004,C023,S001,20,36.00,10.00
110,2023-04-20,CU013,C030,S003,10,26.00,8.50
111,2023-05-20,CU006,C001,S002,8,20.00,6.40
112,2023-05-25,CU014,C002,S002,6,13.80,4.20
113,2023-06-05,CU007,C019,S003,10,28.00,9.00
114,2023-06-15,CU017,C024,S003,12,20.40,5.40
115,2023-07-05,CU010,C028,S003,10,27.00,9.00
116,2023-07-15,CU015,C003,S001,8,19.20,6.00
117,2023-08-20,CU019,C013,S001,5,16.00,5.50
118,2023-08-25,CU001,C005,S001,4,18.00,7.20
119,2023-09-01,CU005,C025,S001,2,9.80,4.00
120,2023-09-10,CU009,C011,S002,5,21.00,8.00
121,2023-09-15,CU018,C020,S001,3,13.80,5.55
122,2023-09-20,CU020,C017,S002,8,26.40,8.00
123,2023-09-25,CU012,C012,S003,4,15.60,5.80
124,2023-10-05,CU003,C021,S002,5,23.50,9.50
125,2023-10-15,CU016,C008,S002,4,17.60,6.80
126,2023-10-25,CU008,C009,S001,6,24.00,9.00
127,2023-11-05,CU011,C018,S001,8,28.00,8.80
128,2023-11-15,CU015,C023,S001,15,27.00,7.50
129,2023-12-05,CU002,C001,S003,12,30.00,9.60
130,2023-12-20,CU010,C028,S003,10,27.00,9.00
131,2024-01-08,CU021,C025,S001,5,24.50,10.00
132,2024-01-15,CU026,C028,S001,8,21.60,7.20
133,2024-01-20,CU001,C021,S001,4,18.80,7.60
134,2024-02-14,CU022,C018,S003,10,35.00,11.00
135,2024-02-20,CU035,C005,S001,6,27.00,10.80
136,2024-02-28,CU027,C012,S003,5,19.50,7.25
137,2024-03-05,CU034,C025,S001,4,19.60,8.00
138,2024-03-15,CU023,C003,S002,10,24.00,7.50
139,2024-03-25,CU028,C020,S002,5,23.00,9.25
140,2024-04-10,CU029,C011,S002,6,25.20,9.60
141,2024-04-22,CU024,C002,S001,8,18.40,5.60
142,2024-05-10,CU025,C024,S001,12,20.40,5.40
143,2024-05-25,CU030,C001,S001,10,25.00,8.00
144,2024-06-12,CU031,C025,S003,5,24.50,10.00
145,2024-06-25,CU036,C019,S003,8,22.40,7.20
146,2024-07-05,CU032,C004,S002,6,15.60,5.10
147,2024-07-15,CU037,C003,S001,10,24.00,7.50
148,2024-08-05,CU038,C014,S002,6,21.00,7.20
149,2024-08-20,CU033,C023,S001,20,36.00,10.00
150,2024-09-15,CU039,C006,S002,6,28.20,11.40
151,2024-10-10,CU040,C015,S001,5,18.50,6.50
152,2024-11-05,CU001,C021,S001,5,23.50,9.50
153,2024-11-15,CU005,C008,S001,6,26.40,10.20
154,2024-11-25,CU009,C011,S002,8,33.60,12.80
155,2024-12-05,CU018,C020,S001,5,23.00,9.25
156,2024-12-15,CU012,C017,S003,12,39.60,12.00
157,2024-12-25,CU003,C007,S002,6,27.60,11.10
158,2024-12-30,CU020,C012,S002,8,31.20,11.60
159,2025-01-01,CU021,C025,S001,6,29.40,12.00
160,2023-01-20,CU009,C011,S002,4,16.80,6.40
161,2023-02-05,CU016,C020,S002,3,13.80,5.55
162,2023-02-15,CU008,C009,S001,5,20.00,7.50
163,2023-03-10,CU012,C017,S003,10,33.00,10.00
164,2023-03-25,CU018,C021,S001,4,18.80,7.60
165,2023-04-12,CU004,C023,S001,15,27.00,7.50
166,2023-05-18,CU006,C028,S002,10,27.00,9.00
167,2023-06-01,CU007,C019,S003,8,22.40,7.20
168,2023-07-03,CU010,C028,S003,12,32.40,10.80
169,2023-08-19,CU019,C013,S001,6,19.20,6.60
170,2023-09-05,CU001,C005,S001,5,22.50,9.00
171,2023-09-12,CU005,C025,S001,4,19.60,8.00
172,2023-09-20,CU009,C011,S002,6,25.20,9.60
173,2023-09-28,CU018,C020,S001,5,23.00,9.25
174,2023-10-05,CU020,C017,S002,10,33.00,10.00
175,2023-10-15,CU012,C012,S003,6,23.40,8.70
176,2023-11-01,CU016,C021,S002,4,18.80,7.60
177,2023-11-10,CU008,C009,S001,5,20.00,7.50
178,2023-11-20,CU011,C018,S001,8,28.00,8.80
179,2023-12-05,CU015,C023,S001,20,36.00,10.00
180,2023-12-15,CU002,C001,S003,15,37.50,12.00
181,2023-12-25,CU010,C028,S003,8,21.60,7.20
182,2024-01-05,CU021,C025,S001,6,29.40,12.00
183,2024-01-12,CU026,C028,S001,10,27.00,9.00
184,2024-01-20,CU001,C021,S001,5,23.50,9.50
185,2024-02-05,CU034,C025,S001,3,14.70,6.00
186,2024-02-14,CU022,C018,S003,12,42.00,13.20
187,2024-02-22,CU035,C005,S001,4,18.00,7.20
188,2024-03-01,CU027,C012,S003,6,23.40,8.70
189,2024-03-10,CU023,C003,S002,10,24.00,7.50
190,2024-03-18,CU028,C020,S002,4,18.40,7.40
191,2024-03-25,CU009,C008,S002,5,22.00,8.50
192,2024-04-05,CU029,C011,S002,8,33.60,12.80
193,2024-04-12,CU004,C023,S001,15,27.00,7.50
194,2024-04-20,CU024,C002,S001,10,23.00,7.00
195,2024-05-05,CU025,C024,S001,12,20.40,5.40
196,2024-05-15,CU030,C001,S001,8,20.00,6.40
197,2024-06-01,CU031,C025,S003,5,24.50,10.00
198,2024-06-15,CU036,C019,S003,10,28.00,9.00
199,2024-07-01,CU032,C004,S002,8,20.80,6.80
200,2024-07-10,CU017,C024,S003,15,25.50,6.75
201,2024-07-20,CU037,C003,S001,6,14.40,4.50
202,2024-08-05,CU038,C014,S002,5,17.50,6.00
203,2024-08-15,CU033,C023,S001,25,45.00,12.50
204,2024-09-01,CU039,C006,S002,4,18.80,7.60
205,2024-10-05,CU040,C015,S001,6,22.20,7.80
206,2024-11-01,CU001,C005,S001,5,22.50,9.00
207,2024-11-10,CU005,C025,S001,3,14.70,6.00
208,2024-11-20,CU009,C011,S002,10,42.00,16.00
209,2024-11-25,CU018,C020,S001,6,27.60,11.10
210,2024-12-05,CU012,C017,S003,15,49.50,15.00
211,2024-12-15,CU003,C007,S002,8,36.80,14.80
212,2024-12-20,CU020,C012,S002,10,39.00,14.50
213,2024-12-25,CU016,C021,S002,5,23.50,9.50
214,2024-12-30,CU021,C025,S001,4,19.60,8.00
215,2023-01-22,CU005,C025,S001,2,9.80,4.00
216,2023-02-10,CU018,C011,S001,5,21.00,8.00
217,2023-03-05,CU009,C020,S002,4,18.40,7.40
218,2023-03-22,CU020,C017,S002,15,49.50,15.00
219,2023-04-12,CU004,C023,S001,10,18.00,5.00
220,2023-05-18,CU006,C028,S002,8,21.60,7.20
221,2023-06-05,CU007,C019,S003,6,16.80,5.40
222,2023-07-15,CU010,C028,S003,10,27.00,9.00
223,2023-08-25,CU001,C005,S001,6,27.00,10.80
224,2023-09-15,CU012,C012,S003,5,19.50,7.25
225,2023-10-10,CU016,C021,S002,4,18.80,7.60
226,2023-11-05,CU003,C007,S002,6,27.60,11.10
227,2023-12-20,CU008,C009,S001,4,16.00,6.00
228,2024-01-10,CU026,C028,S001,12,32.40,10.80
229,2024-02-14,CU035,C005,S001,5,22.50,9.00
230,2024-03-18,CU023,C003,S002,12,28.80,9.00
231,2024-04-22,CU029,C011,S002,10,42.00,16.00
232,2024-05-25,CU030,C001,S001,15,37.50,12.00
233,2024-06-20,CU031,C025,S003,6,29.40,12.00
234,2024-07-14,CU037,C003,S001,8,19.20,6.00
235,2024-08-20,CU033,C023,S001,20,36.00,10.00
236,2024-09-25,CU039,C006,S002,5,23.50,9.50
237,2024-10-15,CU040,C015,S001,8,29.60,10.40
238,2024-11-28,CU048,C025,S002,4,19.60,8.00
239,2024-12-12,CU047,C008,S003,6,26.40,10.20
240,2024-12-25,CU035,C021,S001,5,23.50,9.50
241,2023-01-30,CU005,C011,S001,4,16.80,6.40
242,2023-02-15,CU009,C008,S002,6,26.40,10.20
243,2023-03-12,CU018,C020,S001,5,23.00,9.25
244,2023-04-05,CU020,C017,S002,10,33.00,10.00
245,2023-05-10,CU012,C012,S003,4,15.60,5.80
246,2023-06-15,CU004,C023,S001,12,21.60,6.00
247,2023-07-20,CU006,C028,S002,6,16.20,5.40
248,2023-08-28,CU007,C019,S003,8,22.40,7.20
249,2023-10-02,CU010,C028,S003,10,27.00,9.00
250,2023-11-12,CU017,C024,S003,10,17.00,4.50
251,2023-12-18,CU015,C003,S001,6,14.40,4.50
252,2024-01-25,CU021,C025,S001,5,24.50,10.00
253,2024-02-10,CU026,C028,S001,8,21.60,7.20
254,2024-03-15,CU034,C025,S001,6,29.40,12.00
255,2024-04-20,CU035,C021,S001,4,18.80,7.60
256,2024-05-12,CU022,C018,S003,10,35.00,11.00
257,2024-06-18,CU027,C012,S003,8,31.20,11.60
258,2024-07-25,CU023,C003,S002,15,36.00,11.25
259,2024-08-30,CU028,C020,S002,6,27.60,11.10
260,2024-09-15,CU029,C011,S002,12,50.40,19.20
261,2024-10-20,CU030,C001,S001,10,25.00,8.00
262,2024-11-05,CU031,C025,S003,8,39.20,16.00
263,2024-12-01,CU036,C019,S003,12,33.60,10.80
264,2024-12-15,CU032,C004,S002,10,26.00,8.50
265,2023-01-25,CU001,C005,S001,3,13.50,5.40
266,2023-02-18,CU005,C025,S001,2,9.80,4.00
267,2023-03-22,CU009,C011,S002,5,21.00,8.00
268,2023-04-30,CU018,C020,S001,4,18.40,7.40
269,2023-05-16,CU020,C017,S002,8,26.40,8.00
270,2023-06-08,CU012,C012,S003,4,15.60,5.80
271,2023-07-11,CU016,C021,S002,6,28.20,11.40
272,2023-08-19,CU003,C007,S002,5,23.00,9.25
273,2023-09-25,CU008,C009,S001,8,32.00,12.00
274,2023-10-15,CU011,C018,S001,10,35.00,11.00
275,2023-11-20,CU015,C023,S001,15,27.00,7.50
276,2023-12-25,CU002,C001,S003,12,30.00,9.60
277,2024-01-14,CU010,C028,S003,10,27.00,9.00
278,2024-02-27,CU021,C025,S001,6,29.40,12.00
279,2024-03-30,CU026,C028,S001,15,40.50,13.50
280,2024-04-06,CU034,C025,S001,5,24.50,10.00
281,2024-05-22,CU035,C021,S001,6,28.20,11.40
282,2024-06-10,CU022,C018,S003,15,52.50,16.50
283,2024-07-01,CU027,C012,S003,10,39.00,14.50
284,2024-08-15,CU023,C003,S002,12,28.80,9.00
285,2024-09-11,CU028,C020,S002,8,36.80,14.80
286,2024-10-05,CU029,C011,S002,15,63.00,24.00
287,2024-11-15,CU030,C001,S001,12,30.00,9.60
288,2024-12-05,CU031,C025,S003,10,49.00,20.00
289,2024-12-20,CU036,C019,S003,15,42.00,13.50
290,2024-12-30,CU032,C004,S002,12,31.20,10.20
291,2023-01-20,CU001,C005,S001,4,18.00,7.20
292,2023-02-14,CU005,C025,S001,3,14.70,6.00
293,2023-03-09,CU009,C011,S002,6,25.20,9.60
294,2023-04-30,CU018,C020,S001,5,23.00,9.25
295,2023-05-18,CU020,C017,S002,12,39.60,12.00
296,2023-06-08,CU012,C012,S003,6,23.40,8.70
297,2023-07-11,CU016,C021,S002,8,37.60,15.20
298,2023-08-19,CU003,C007,S002,6,27.60,11.10
299,2023-09-25,CU008,C009,S001,10,40.00,15.00
300,2023-10-15,CU011,C018,S001,12,42.00,13.20
301,2023-11-20,CU015,C023,S001,20,36.00,10.00
302,2023-12-25,CU002,C001,S003,15,37.50,12.00
303,2024-01-14,CU010,C028,S003,12,32.40,10.80
304,2024-02-27,CU021,C025,S001,8,39.20,16.00
305,2024-03-30,CU026,C028,S001,20,54.00,18.00
306,2024-04-06,CU034,C025,S001,6,29.40,12.00
307,2024-05-22,CU035,C021,S001,8,37.60,15.20
308,2024-06-10,CU022,C018,S003,20,70.00,22.00
309,2024-07-01,CU027,C012,S003,12,46.80,17.40
310,2024-08-15,CU023,C003,S002,15,36.00,11.25
311,2024-09-11,CU028,C020,S002,10,46.00,18.50
312,2024-10-05,CU029,C011,S002,20,84.00,32.00
313,2024-11-15,CU030,C001,S001,15,37.50,12.00
314,2024-12-05,CU031,C025,S003,12,58.80,24.00
315,2024-12-20,CU036,C019,S003,20,56.00,18.00
316,2024-12-30,CU032,C004,S002,15,39.00,12.75
317,2023-01-25,CU001,C005,S001,5,22.50,9.00
318,2023-02-18,CU005,C025,S001,4,19.60,8.00
319,2023-03-22,CU009,C011,S002,8,33.60,12.80
320,2023-04-30,CU018,C020,S001,6,27.60,11.10
321,2023-05-16,CU020,C017,S002,10,33.00,10.00
322,2023-06-08,CU012,C012,S003,8,31.20,11.60
323,2023-07-11,CU016,C021,S002,10,47.00,19.00
324,2023-08-19,CU003,C007,S002,8,36.80,14.80
325,2023-09-25,CU008,C009,S001,12,48.00,18.00
326,2023-10-15,CU011,C018,S001,15,52.50,16.50
327,2023-11-20,CU015,C023,S001,25,45.00,12.50
328,2023-12-25,CU002,C001,S003,20,50.00,16.00
329,2024-01-14,CU010,C028,S003,15,40.50,13.50
330,2024-02-27,CU021,C025,S001,10,49.00,20.00
331,2024-03-30,CU026,C028,S001,25,67.50,22.50
332,2024-04-06,CU034,C025,S001,8,39.20,16.00
333,2024-05-22,CU035,C021,S001,10,47.00,19.00
334,2024-06-10,CU022,C018,S003,25,87.50,27.50
335,2024-07-01,CU027,C012,S003,15,58.50,21.75
336,2024-08-15,CU023,C003,S002,20,48.00,15.00
337,2024-09-11,CU028,C020,S002,12,55.20,22.20
338,2024-10-05,CU029,C011,S002,25,105.00,40.00
339,2024-11-15,CU030,C001,S001,20,50.00,16.00
340,2024-12-05,CU031,C025,S003,15,73.50,30.00
341,2024-12-20,CU036,C019,S003,25,70.00,22.50
342,2024-12-30,CU032,C004,S002,20,52.00,17.00
343,2023-01-25,CU018,C011,S001,6,25.20,9.60
344,2023-02-14,CU012,C012,S003,5,19.50,7.25
345,2023-03-22,CU016,C021,S002,4,18.80,7.60
346,2023-04-12,CU004,C023,S001,20,36.00,10.00
347,2023-05-18,CU006,C028,S002,12,32.40,10.80
348,2023-06-05,CU007,C019,S003,10,28.00,9.00
349,2023-07-15,CU010,C028,S003,15,40.50,13.50
350,2023-08-25,CU001,C005,S001,8,36.00,14.40
351,2023-09-15,CU012,C012,S003,6,23.40,8.70
352,2023-10-10,CU016,C021,S002,5,23.50,9.50
353,2023-11-05,CU003,C007,S002,10,46.00,18.50
354,2023-12-20,CU008,C009,S001,8,32.00,12.00
355,2024-01-10,CU026,C028,S001,15,40.50,13.50
356,2024-02-14,CU035,C005,S001,8,36.00,14.40
357,2024-03-18,CU023,C003,S002,15,36.00,11.25
358,2024-04-22,CU029,C011,S002,12,50.40,19.20
359,2024-05-25,CU030,C001,S001,20,50.00,16.00
360,2024-06-20,CU031,C025,S003,10,49.00,20.00
361,2024-07-14,CU037,C003,S001,12,28.80,9.00
362,2024-08-20,CU033,C023,S001,30,54.00,15.00
363,2024-09-25,CU039,C006,S002,8,37.60,15.20
364,2024-10-15,CU040,C015,S001,10,37.00,13.00
365,2024-11-28,CU048,C025,S002,6,29.40,12.00
366,2024-12-12,CU047,C008,S003,8,35.20,13.60
367,2024-12-25,CU035,C021,S001,6,28.20,11.40
368,2025-01-01,CU021,C025,S001,10,49.00,20.00
369,2023-01-30,CU005,C011,S001,6,25.20,9.60
370,2023-02-15,CU009,C008,S002,8,35.20,13.60
371,2023-03-12,CU018,C020,S001,6,27.60,11.10
372,2023-04-05,CU020,C017,S002,15,49.50,15.00
373,2023-05-10,CU012,C012,S003,5,19.50,7.25
374,2023-06-15,CU004,C023,S001,15,27.00,7.50
375,2023-07-20,CU006,C028,S002,10,27.00,9.00
376,2023-08-28,CU007,C019,S003,12,33.60,10.80
377,2023-10-02,CU010,C028,S003,15,40.50,13.50
378,2023-11-12,CU017,C024,S003,15,25.50,6.75
379,2023-12-18,CU015,C003,S001,10,24.00,7.50
380,2024-01-25,CU021,C025,S001,8,39.20,16.00
381,2024-02-10,CU026,C028,S001,12,32.40,10.80
382,2024-03-15,CU034,C025,S001,10,49.00,20.00
383,2024-04-20,CU035,C021,S001,6,28.20,11.40
384,2024-05-12,CU022,C018,S003,12,42.00,13.20
385,2024-06-18,CU027,C012,S003,10,39.00,14.50
386,2024-07-25,CU023,C003,S002,20,48.00,15.00
387,2024-08-30,CU028,C020,S002,8,36.80,14.80
388,2024-09-15,CU029,C011,S002,15,63.00,24.00
389,2024-10-20,CU030,C001,S001,12,30.00,9.60
390,2024-11-05,CU031,C025,S003,10,49.00,20.00
391,2024-12-01,CU036,C019,S003,15,42.00,13.50
392,2024-12-15,CU032,C004,S002,12,31.20,10.20
393,2023-01-25,CU001,C005,S001,4,18.00,7.20
394,2023-02-18,CU005,C025,S001,3,14.70,6.00
395,2023-03-22,CU009,C011,S002,6,25.20,9.60
396,2023-04-30,CU018,C020,S001,5,23.00,9.25
397,2023-05-16,CU020,C017,S002,10,33.00,10.00
398,2023-06-08,CU012,C012,S003,6,23.40,8.70
399,2023-07-11,CU016,C021,S002,8,37.60,15.20
400,2023-08-19,CU003,C007,S002,6,27.60,11.10
401,2023-09-25,CU008,C009,S001,10,40.00,15.00
402,2023-10-15,CU011,C018,S001,12,42.00,13.20
403,2023-11-20,CU015,C023,S001,20,36.00,10.00
404,2023-12-25,CU002,C001,S003,15,37.50,12.00
405,2024-01-14,CU010,C028,S003,12,32.40,10.80
406,2024-02-27,CU021,C025,S001,8,39.20,16.00
407,2024-03-30,CU026,C028,S001,20,54.00,18.00
408,2024-04-06,CU034,C025,S001,6,29.40,12.00
409,2024-05-22,CU035,C021,S001,8,37.60,15.20
410,2024-06-10,CU022,C018,S003,20,70.00,22.00
411,2024-07-01,CU027,C012,S003,12,46.80,17.40
412,2024-08-15,CU023,C003,S002,15,36.00,11.25
413,2024-09-11,CU028,C020,S002,10,46.00,18.50
414,2024-10-05,CU029,C011,S002,20,84.00,32.00
415,2024-11-15,CU030,C001,S001,15,37.50,12.00
416,2024-12-05,CU031,C025,S003,12,58.80,24.00
417,2024-12-20,CU036,C019,S003,20,56.00,18.00
418,2024-12-30,CU032,C004,S002,15,39.00,12.75
419,2025-01-09,CU041,C028,S001,10,27.00,9.00
420,2025-02-14,CU042,C018,S003,12,42.00,13.20
421,2025-03-02,CU043,C005,S001,8,36.00,14.40
422,2025-03-19,CU044,C001,S002,15,37.50,12.00
423,2025-04-07,CU045,C023,S003,20,36.00,10.00
424,2025-01-18,CU046,C028,S001,10,27.00,9.00
425,2025-02-26,CU047,C012,S003,12,46.80,17.40
426,2025-03-15,CU048,C020,S002,10,46.00,18.50
427,2025-04-01,CU049,C028,S001,15,40.50,13.50
428,2025-04-22,CU050,C005,S002,8,36.00,14.40
429,2023-01-20,CU001,C001,S001,4,10.00,3.20
430,2023-02-28,CU008,C005,S001,3,13.50,5.40
431,2023-03-15,CU020,C011,S002,5,21.00,8.00
432,2023-04-25,CU004,C023,S001,10,18.00,5.00
433,2023-05-30,CU006,C028,S002,8,21.60,7.20
434,2023-06-15,CU007,C019,S003,6,16.80,5.40
435,2023-07-25,CU010,C028,S003,12,32.40,10.80
436,2023-08-10,CU015,C003,S001,10,24.00,7.50
437,2023-09-05,CU001,C025,S001,3,14.70,6.00
438,2023-10-12,CU005,C021,S001,4,18.80,7.60
439,2023-11-18,CU009,C011,S002,6,25.20,9.60
440,2023-12-20,CU018,C020,S001,5,23.00,9.25
441,2024-01-15,CU012,C017,S003,10,33.00,10.00
442,2024-02-14,CU003,C007,S002,8,36.80,14.80
443,2024-03-25,CU020,C012,S002,10,39.00,14.50
444,2024-04-12,CU016,C021,S002,5,23.50,9.50
445,2024-05-20,CU021,C025,S001,4,19.60,8.00
446,2024-06-15,CU026,C028,S001,8,21.60,7.20
447,2024-07-22,CU034,C025,S001,5,24.50,10.00
448,2024-08-10,CU035,C021,S001,4,18.80,7.60
449,2024-09-05,CU022,C018,S003,10,35.00,11.00
450,2024-10-18,CU027,C012,S003,5,19.50,7.25
451,2024-11-25,CU023,C003,S002,10,24.00,7.50
452,2024-12-10,CU028,C020,S002,4,18.40,7.40
453,2024-12-25,CU029,C011,S002,5,21.00,8.00
454,2024-12-30,CU030,C001,S001,10,25.00,8.00
455,2023-01-28,CU001,C006,S001,4,18.80,7.60
456,2023-02-20,CU005,C007,S001,5,23.00,9.25
457,2023-03-18,CU009,C008,S002,6,26.40,10.20
458,2023-04-10,CU018,C009,S001,5,20.00,7.50
459,2023-05-15,CU012,C011,S003,4,16.80,6.40
460,2023-06-20,CU016,C012,S002,6,23.40,8.70
461,2023-07-15,CU003,C017,S002,12,39.60,12.00
462,2023-08-25,CU008,C025,S001,3,14.70,6.00
463,2023-09-10,CU011,C021,S001,5,23.50,9.50
464,2023-10-18,CU015,C008,S001,4,17.60,6.80
465,2023-11-22,CU002,C020,S003,5,23.00,9.25
466,2023-12-30,CU010,C007,S003,6,27.60,11.10
467,2024-01-20,CU021,C012,S001,8,31.20,11.60
468,2024-02-25,CU026,C017,S001,15,49.50,15.00
469,2024-03-12,CU034,C005,S001,5,22.50,9.00
470,2024-04-18,CU035,C025,S001,4,19.60,8.00
471,2024-05-22,CU022,C021,S003,6,28.20,11.40
472,2024-06-30,CU027,C011,S003,8,33.60,12.80
473,2024-07-15,CU023,C020,S002,5,23.00,9.25
474,2024-08-28,CU028,C007,S002,6,27.60,11.10
475,2024-09-10,CU029,C012,S002,10,39.00,14.50
476,2024-10-25,CU030,C017,S001,20,66.00,20.00
477,2024-11-18,CU031,C025,S003,12,58.80,24.00
478,2024-12-12,CU036,C021,S003,10,47.00,19.00
479,2024-12-22,CU032,C011,S002,15,63.00,24.00
